数据库：国际数据主要国家(地区)年度数据
时间：2017年
指标,巴林,孟加拉国,塞浦路斯,印度,印度尼西亚,伊朗,以色列,日本,约旦,马来西亚,蒙古,尼泊尔,巴基斯坦,菲律宾,卡塔尔,沙特阿拉伯,新加坡,韩国,斯里兰卡,泰国,土耳其,也门,越南,哈萨克斯坦,吉尔吉斯斯坦,乌兹别克斯坦
非居民专利申请数量(个),171,267,1,31858,8538,702,5119,58137,256,6127,107,26,636,3092,548,2196,9379,45406,293,6722,618,16,4668,231,5,202
居民专利申请数量(个),6,77,3,13199,,14930,1300,260244,22,1109,112,11,204,327,16,1070,1601,163424,280,1098,6230,16,560,993,84,353
注：数据来源于世界银行等国际组织。
数据来源：国家统计局
