数据库：国际数据主要国家(地区)年度数据
时间：2017年
指标,阿尔及利亚,博茨瓦那,埃及,加纳,肯尼亚,马达加斯加,马拉维,毛里求斯,摩洛哥,莫桑比克,卢旺达,南非,苏丹,突尼斯,乌干达,津巴布韦
非居民专利申请数量(个),566,6,1231,17,59,30,1,36,1066,25,126,6928,1,348,,5
居民专利申请数量(个),106,1,918,14,144,6,3,2,237,15,2,2783,284,235,16,8
注：数据来源于世界银行等国际组织。
数据来源：国家统计局
