数据库：国际数据主要国家(地区)年度数据
时间：2017年
指标,安提瓜和巴布达,阿根廷,巴哈马,巴巴多斯,伯利兹,玻利维亚,巴西,智利,哥伦比亚,哥斯达黎加,古巴,多米尼加,厄瓜多尔,格林纳达,危地马拉,圭亚那,洪都拉斯,牙买加,墨西哥,巴拿马,秘鲁,萨尔瓦多,特立尼达和多巴哥,拉丁美洲和加勒比海
非居民专利申请数量(个),12,2925,34,41,37,241,22810,2521,1658,496,163,257,329,17,266,18,185,59,16103,349,1091,171,133,49916
居民专利申请数量(个),,884,3,,,12,5200,386,545,9,32,16,45,,3,,10,19,1310,68,72,4,3,8621
注：数据来源于世界银行等国际组织。
数据来源：国家统计局
