数据库：国际数据主要国家(地区)年度数据
时间：2017年
指标,比利时,丹麦,英国,德国,法国,爱尔兰,意大利,卢森堡,荷兰,希腊,葡萄牙,西班牙,阿尔巴尼亚,安道尔,奥地利,保加利亚,芬兰,匈牙利,冰岛,马耳他,摩纳哥,挪威,波兰,罗马尼亚,圣马力诺,瑞典,瑞士,爱沙尼亚,拉脱维亚,立陶宛,格鲁吉亚,亚美尼亚,阿塞拜疆,白俄罗斯,摩尔多瓦,俄罗斯联邦,乌克兰,克罗地亚,捷克,斯洛伐克,波黑,塞尔维亚,黑山
非居民专利申请数量(个),119,298,8183,19419,2012,85,973,301,314,40,27,177,4,3,237,11,108,49,3,1,7,833,135,58,454,352,309,1,18,58,178,1,19,66,64,14792,1862,13,47,15,6,21,
居民专利申请数量(个),1054,1552,13876,48480,14206,202,8848,143,2290,606,724,2745,21,,2078,230,1260,616,35,3,7,1227,4261,1005,4,2032,1462,29,95,95,96,125,144,455,91,26795,2233,175,792,220,60,192,10
注：数据来源于世界银行等国际组织。
数据来源：国家统计局
