数据库：国际数据主要国家(地区)年度数据
时间：2017年
指标,澳大利亚,新西兰
非居民专利申请数量(个),25774,5311
居民专利申请数量(个),2620,1075
注：数据来源于世界银行等国际组织。
数据来源：国家统计局
